favorite_count,full_text,quote_count,reply_count,retweet_count,name,followers_count,above_avg_favorite,above_avg_retweet,above_avg_reply,above_average_engagement,average_favorite_count,average_retweet_count,average_reply_count
280039,Big congratulations to our 45th and now 47th President on an extraordinary political comeback and decisive victory. No nation has bigger opportunities. Wishing @realDonaldTrump all success in leading and uniting the America we all love.,5338,16652,19191,Jeff Bezos,6793553,True,True,True,True,173429.1,16012.0,10944.5
241790,"Leo, come over here, I want to show you something… @LeoDiCaprio https://t.co/KqGLB839NI",20811,7987,38261,Jeff Bezos,6793553,True,True,False,True,173429.1,16012.0,10944.5
214830,Our former President showed tremendous grace and courage under literal fire tonight. So thankful for his safety and so sad for the victims and their families.,1352,11822,12606,Jeff Bezos,6793553,True,False,True,True,173429.1,16012.0,10944.5
190743,My first job. And still the same great burger. Happy Sunday! https://t.co/3slx6dHUVa,4412,10460,8158,Jeff Bezos,6793553,True,False,False,True,173429.1,16012.0,10944.5
176425,Ouch. Inflation is far too important a problem for the White House to keep making statements like this. It’s either straight ahead misdirection or a deep misunderstanding of basic market dynamics.,6593,20907,28496,Jeff Bezos,6793553,True,True,True,True,173429.1,16012.0,10944.5
151704,"The newly created Disinformation Board should review this tweet, or maybe they need to form a new Non Sequitur Board instead. Raising corp taxes is fine to discuss. Taming inflation is critical to discuss. Mushing them together is just misdirection.",5797,13678,18493,Jeff Bezos,6793553,False,True,True,True,173429.1,16012.0,10944.5
138248,@elonmusk @realDonaldTrump Nope. 100% not true.,922,7439,3346,Jeff Bezos,6793553,False,False,False,False,173429.1,16012.0,10944.5
118919,Congratulations to @ElonMusk and the @SpaceX team on their successful Inspiration4 launch last night. Another step towards a future where space is accessible to all of us.,1517,4825,6654,Jeff Bezos,6793553,False,False,False,False,173429.1,16012.0,10944.5
110838,"I just took a DNA test, turns out I’m 100% @lizzo’s biggest fan. #SBLIV https://t.co/RhOduXk8Qd",13296,11652,13097,Jeff Bezos,6793553,False,False,True,True,173429.1,16012.0,10944.5
110755,"I have this old 2006 BusinessWeek framed as a reminder. The “risky bet” that Wall Street disliked was AWS, which generated revenue of more than $62 billion last year. https://t.co/ccF0nCOkhu",1636,4023,11818,Jeff Bezos,6793553,False,False,False,False,173429.1,16012.0,10944.5
