favorite_count,full_text,quote_count,reply_count,retweet_count,name,followers_count,above_avg_favorite,above_avg_retweet,above_avg_reply,above_average_engagement,average_favorite_count,average_retweet_count,average_reply_count
1956646,"I’m gonna give 10 random people that repost this and follow me $25,000 for fun (the $250,000 my X video made)

I’ll pick the winners in 72 hours",221014,409598,2779477,MrBeast,32211161,True,True,True,True,949637.8,312592.1,64671.3
1363656,No takesies backsies https://t.co/vtjWx40m9i,13376,64364,72661,MrBeast,32211161,True,False,False,True,949637.8,312592.1,64671.3
940795,Can I be the new Twitter CEO?,4965,24333,36767,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
862493,I was walking around in India and someone asked for a picture. So I asked my translator to ask him what his favorite MrBeast video is and he said that he doesn’t know what a MrBeast is and just wanted a photo with a tall white guy lol,3507,11845,27740,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
872069,After 6 years we have finally avenged Pewdiepie 🥹 https://t.co/V1znbyqw27,6211,15745,55740,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
767585,"Over the last few days, I’ve become aware of the serious allegations of Ava Tyson's behavior online and I am disgusted and opposed to such unacceptable acts.

During that time, I have been focused on hiring an independent third party to conduct a thorough investigation to ensure",9151,41605,36315,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
721632,"Twitter - Rich people should help others with their money

Me - Okay, I’ll use my money to help people and I promise to give away all my money before I die. Every single penny.

Twitter - MrBeast bad",7723,23783,41233,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
695672,"Woke up and realized I was obese so I started lifting and walking 12,500 steps a day. Still got a long way to being yoked but I’m happy with my progress so far 🥰 https://t.co/wFKpUHia52",8151,24657,20672,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
665919,I’m doing this for Pewdiepie 🫡 https://t.co/h8obwAuJKF,1959,10186,23810,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
649911,"Okay fine, I’ll buy Tik Tok so it doesn’t get banned",7016,20597,31506,MrBeast,32211161,False,False,False,False,949637.8,312592.1,64671.3
