favorite_count,full_text,quote_count,reply_count,retweet_count,name,followers_count,above_avg_favorite,above_avg_retweet,above_avg_reply,above_average_engagement,average_favorite_count,average_retweet_count,average_reply_count
4373184,Next I’m buying Coca-Cola to put the cocaine back in,166890,173963,610917,Elon Musk,217890879,True,True,True,True,2756927.7,313975.6,106114.8
3396162,https://t.co/6eOgN9UdOy,40401,72384,410144,Elon Musk,217890879,True,True,False,True,2756927.7,313975.6,106114.8
2968641,"I hope that even my worst critics remain on Twitter, because that is what free speech means",68445,160632,332364,Elon Musk,217890879,True,True,True,True,2756927.7,313975.6,106114.8
2664915,🇺🇸🇺🇸The future is gonna be so 🔥 🇺🇸🇺🇸 https://t.co/x56cqb6oT5,12128,59677,216477,Elon Musk,217890879,False,False,False,False,2756927.7,313975.6,106114.8
2427836,Let’s make Twitter maximum fun!,33686,104014,173681,Elon Musk,217890879,False,False,False,False,2756927.7,313975.6,106114.8
2396227,🚀💫♥️ Yesss!!! ♥️💫🚀 https://t.co/0T9HzUHuh6,59375,134780,312685,Elon Musk,217890879,False,False,True,True,2756927.7,313975.6,106114.8
2352321,"Listen, I can’t do miracles ok https://t.co/z7dvLMUXy8",24675,71054,190576,Elon Musk,217890879,False,False,False,False,2756927.7,313975.6,106114.8
2401503,It is morning in America again https://t.co/GNTE0cUWoc,10749,69861,220213,Elon Musk,217890879,False,False,False,False,2756927.7,313975.6,106114.8
2325329,I fully endorse President Trump and hope for his rapid recovery https://t.co/ZdxkF63EqF,36348,86652,361566,Elon Musk,217890879,False,True,False,True,2756927.7,313975.6,106114.8
2263159,the bird is freed,51257,128131,311133,Elon Musk,217890879,False,False,True,True,2756927.7,313975.6,106114.8
