favorite_count,full_text,quote_count,reply_count,retweet_count,name,followers_count,above_avg_favorite,above_avg_retweet,above_avg_reply,above_average_engagement,average_favorite_count,average_retweet_count,average_reply_count
4373499,Next I’m buying Coca-Cola to put the cocaine back in,166889,173978,611012,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
3396590,https://t.co/6eOgN9UdOy,40401,72398,410245,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2968825,"I hope that even my worst critics remain on Twitter, because that is what free speech means",68444,160649,332424,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2665407,🇺🇸🇺🇸The future is gonna be so 🔥 🇺🇸🇺🇸 https://t.co/x56cqb6oT5,12126,59693,216610,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2428006,Let’s make Twitter maximum fun!,33686,104021,173695,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2396366,🚀💫♥️ Yesss!!! ♥️💫🚀 https://t.co/0T9HzUHuh6,59375,134799,312721,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2352528,"Listen, I can’t do miracles ok https://t.co/z7dvLMUXy8",24675,71061,190597,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2401855,It is morning in America again https://t.co/GNTE0cUWoc,10748,69866,220230,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2325583,I fully endorse President Trump and hope for his rapid recovery https://t.co/ZdxkF63EqF,36347,86663,361632,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2263365,the bird is freed,51257,128144,311153,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2257304,Let that sink in https://t.co/XvYFtDrhRm,16935,65786,234631,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2158141,Comedy is now legal on Twitter,38041,80422,220875,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
2156329,https://t.co/FMCQKSB2u6,8982,25110,141284,Elon Musk,217714310,True,False,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1914391,https://t.co/rbwbsLA1ZG,156848,62124,203945,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1834734,Haters will say this is AI  🕺🕺 https://t.co/vqWVxiYXeD,25665,102523,222142,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1815747,Good,6278,30572,165367,Elon Musk,217714310,True,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1824123,Absolutely,12789,49390,292728,Elon Musk,217714310,True,True,False,True,1423669.7777777778,143331.34343434343,52000.51515151515
1728605,"If I die under mysterious circumstances, it’s been nice knowin ya",38982,135004,156085,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1698323,https://t.co/kGncG7Hs3M,60664,65775,155729,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1720677,They say red light helps you sleep better https://t.co/XvVFnmcF9O,12751,60623,184864,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1548237,https://t.co/XEydRiST9D,62733,118743,88993,Elon Musk,217714310,True,False,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
1518816,The extreme antibody reaction from those who fear free speech says it all,17291,69548,173419,Elon Musk,217714310,True,True,True,True,1423669.7777777778,143331.34343434343,52000.51515151515
